SOURCE_INSTANCE	SOURCE_KEY1	SOURCE_KEY2	SOURCE_KEY3	LACTA_ALERT_CODE	UPDATED_ON	UPDATED_BY
AU_LW_V5	LIS_VD36.5			1	2015/10/09 10:03:15.000000000	F_EMMPER
AU_LW_V5	LIS_VIDAS			1	2015/10/09 10:03:15.000000000	F_EMMPER
AU_LW_V5	LS_CHRM48H			1	2015/10/09 10:03:15.000000000	F_EMMPER
AU_LW_V5	LSSPC_CROM			1	2015/10/09 10:03:15.000000000	F_EMMPER
AU_LW_V5	M36-2L_NDR			1	2015/10/09 10:03:15.000000000	F_EMMPER
AU_LW_V5	M36-2LS_CF			1	2015/10/09 10:03:15.000000000	F_EMMPER
AU_LW_V5	LISID_REVW			2	2015/10/09 10:03:15.000000000	F_EMMPER
AU_LW_V5	LISID_TSA			2	2015/10/09 10:03:15.000000000	F_EMMPER
AU_LW_V5	LISID_CAT			2	2015/10/09 10:03:15.000000000	F_EMMPER
AU_LW_V5	LISID_GRAM			2	2015/10/09 10:03:15.000000000	F_EMMPER
AU_LW_V5	LISID_MOT			2	2015/10/09 10:03:15.000000000	F_EMMPER
AU_LW_V5	LIS_BIOCHM			2	2015/10/09 10:03:15.000000000	F_EMMPER
AU_LW_V5	M803_SL_CF			9	2015/10/09 10:03:15.000000000	F_EMMPER
AU_LW_V5	SLM_CULT80			9	2015/10/09 10:03:15.000000000	F_EMMPER
AU_LW_V5	SLM_VIDAS			9	2015/10/09 10:03:15.000000000	F_EMMPER
AU_LW_V5	COLIF_SDET			5	2015/10/09 10:03:15.000000000	F_EMMPER
AU_LW_V5	COLI_MPN3			5	2015/10/09 10:03:15.000000000	F_EMMPER
AU_LW_V5	COLI_M_BGB			5	2015/10/09 10:03:15.000000000	F_EMMPER
AU_LW_V5	COL_BL48SD			5	2015/10/09 10:03:15.000000000	F_EMMPER
AU_LW_V5	COL_ECMPN3			5	2015/10/09 10:03:15.000000000	F_EMMPER
AU_LW_V5	ECOLIECH			6	2015/10/09 10:03:15.000000000	F_EMMPER
AU_LW_V5	ECOLIND48H			6	2015/10/09 10:03:15.000000000	F_EMMPER
AU_LW_V5	ECOLI_MPN3			6	2015/10/09 10:03:15.000000000	F_EMMPER
AU_LW_V5	ECOLI_SDET			20	2015/10/09 10:03:15.000000000	F_EMMPER
AU_LW_V5	ECSDTEC48H			20	2015/10/09 10:03:15.000000000	F_EMMPER
AU_LW_V5	LMO_CHR48H			2	2015/10/09 10:03:16.000000000	F_EMMPER
AU_LW_V5	LSSP_LOD10			15	2015/10/09 10:03:16.000000000	F_EMMPER
AU_LW_V5	M3_COG_4H			7	2015/10/09 10:03:16.000000000	F_EMMPER
AU_LW_V5	PET_3P_EC			6	2015/10/09 10:03:16.000000000	F_EMMPER
AU_LW_V5	STAPH_SP			7	2015/10/09 10:03:16.000000000	F_EMMPER
AU_LW_V5	WMF_CF_CNF			5	2015/10/09 10:03:16.000000000	F_EMMPER
AU_LW_V5	WMF_COLI			5	2015/10/09 10:03:16.000000000	F_EMMPER
AU_LW_V5	WMF_ECOLI			6	2015/10/09 10:03:16.000000000	F_EMMPER
AU_LW_V5	WMF_EC_CNF			6	2015/10/09 10:03:16.000000000	F_EMMPER
AU_LW_V5	LIS_VID_UP			1	2015/10/09 10:03:16.000000000	F_EMMPER
