SOURCE_INSTANCE	SOURCE_MATRICE_CODE	GDW_MATRICE_ID	UPDATED_ON	UPDATED_BY
EU_LW_V5	M_CEREAL_PRODUCTS	1	2015/10/09 10:00:15.000000000	F_EMMPER
EU_LW_V5	M_FATS_OILS_FATTY	2	2015/10/09 10:00:15.000000000	F_EMMPER
EU_LW_V5	M_EGG_PRODUCTS	3	2015/10/09 10:00:15.000000000	F_EMMPER
EU_LW_V5	M_MILK_PRODUCTS	4	2015/10/09 10:00:15.000000000	F_EMMPER
EU_LW_V5	M_MEAT_PRODUCTS	5	2015/10/09 10:00:15.000000000	F_EMMPER
EU_LW_V5	M_MARINE_PRODUCTS	6	2015/10/09 10:00:15.000000000	F_EMMPER
EU_LW_V5	M_TABLE_OF_MATRIXES	7	2015/10/09 10:00:15.000000000	F_EMMPER
EU_LW_V5	M_SUGARS_AND_SWEETS	8	2015/10/09 10:00:15.000000000	F_EMMPER
EU_LW_V5	M_COFFEE_AND_TEA	9	2015/10/09 10:00:15.000000000	F_EMMPER
EU_LW_V5	M_NON_ALCOHOLIC_BEV	10	2015/10/09 10:00:15.000000000	F_EMMPER
EU_LW_V5	M_ALCOHOLIC_BEV	11	2015/10/09 10:00:15.000000000	F_EMMPER
EU_LW_V5	M_SPICES	12	2015/10/09 10:00:15.000000000	F_EMMPER
EU_LW_V5	M_DIET_FOOD	13	2015/10/09 10:00:15.000000000	F_EMMPER
EU_LW_V5	M_MIXED_FOOD	14	2015/10/09 10:00:15.000000000	F_EMMPER
EU_LW_V5	M_FRUIT_VEGETABLES	15	2015/10/09 10:00:15.000000000	F_EMMPER
EU_LW_V5	M_NUTS	16	2015/10/09 10:00:15.000000000	F_EMMPER
EU_LW_V5	M_DESERTS	17	2015/10/09 10:00:16.000000000	F_EMMPER
EU_LW_V5	M_FEEDS	18	2015/10/09 10:00:16.000000000	F_EMMPER
EU_LW_V5	M_FEED_INGREDIENTS	19	2015/10/09 10:00:16.000000000	F_EMMPER
EU_LW_V5	M_FEED_PREMIXES	20	2015/10/09 10:00:16.000000000	F_EMMPER
EU_LW_V5	M_WATERS	21	2015/10/09 10:00:16.000000000	F_EMMPER
EU_LW_V5	M_TOBACCO	22	2015/10/09 10:00:16.000000000	F_EMMPER
EU_LW_V5	M_BABY_FOOD	23	2015/10/09 10:00:16.000000000	F_EMMPER
EU_LW_V5	M_CARCASSES_SURF	24	2015/10/09 10:00:16.000000000	F_EMMPER
EU_LW_V5	M_MATERIALS	25	2015/10/09 10:00:16.000000000	F_EMMPER
