SOURCE_INSTANCE	SOURCE_STATUS_CODE	GDW_STATUS_ID	UPDATED_ON	UPDATED_BY
EU_LW_V5	A	1	2015/10/09 10:03:17.000000000	F_EMMPER
EU_LW_V5	X	2	2015/10/09 10:03:17.000000000	F_EMMPER
EU_LW_V5	R	3	2015/10/09 10:03:17.000000000	F_EMMPER
NA_LW_V5	A	1	2015/10/09 10:03:17.000000000	F_EMMPER
NA_LW_V5	X	2	2015/10/09 10:03:17.000000000	F_EMMPER
NA_LW_V5	R	3	2015/10/09 10:03:17.000000000	F_EMMPER
LIMS_SPAIN	V	1	2015/10/09 10:03:17.000000000	F_EMMPER
LIMS_SPAIN	A	2	2015/10/09 10:03:17.000000000	F_EMMPER
LIMS_SPAIN	validated	1	2015/10/09 10:03:18.000000000	F_EMMPER
LIMS_SPAIN	Cancelled	2	2015/10/09 10:03:18.000000000	F_EMMPER
LIMS_SPAIN	cancelled	2	2015/10/09 10:03:18.000000000	F_EMMPER
LIMS_ITALY	4	1	2015/10/09 10:03:18.000000000	F_EMMPER
LIMS_ITALY	5	1	2015/10/09 10:03:18.000000000	F_EMMPER
LIMS_ITALY	6	1	2015/10/09 10:03:18.000000000	F_EMMPER
LIMS_ITALY	7	2	2015/10/09 10:03:18.000000000	F_EMMPER
AU_LW_V5	A	1	2015/10/09 10:03:18.000000000	F_EMMPER
AU_LW_V5	X	2	2015/10/09 10:03:18.000000000	F_EMMPER
AU_LW_V5	R	3	2015/10/09 10:03:18.000000000	F_EMMPER
EU_LW_V5	E	8	2015/10/09 10:03:18.000000000	F_EMMPER
EU_LW_V5	M	20	2015/10/09 10:03:18.000000000	F_EMMPER
EU_LW_V5	N	9	2015/10/09 10:03:18.000000000	F_EMMPER
EU_LW_V5	C	7	2015/10/09 10:03:18.000000000	F_EMMPER
EU_LW_V5	I	5	2015/10/09 10:03:18.000000000	F_EMMPER
EU_LW_V5	P	6	2015/10/09 10:03:18.000000000	F_EMMPER
EU_LW_V5	U	4	2015/10/09 10:03:18.000000000	F_EMMPER
EU_LW_V5	-2	21	2015/10/09 10:03:18.000000000	F_EMMPER
EU_LW_V5	-1	22	2015/10/09 10:03:18.000000000	F_EMMPER
EU_LW_V5	0	2	2015/10/09 10:03:18.000000000	F_EMMPER
EU_LW_V5	1	11	2015/10/09 10:03:18.000000000	F_EMMPER
EU_LW_V5	2	6	2015/10/09 10:03:19.000000000	F_EMMPER
EU_LW_V5	3	12	2015/10/09 10:03:19.000000000	F_EMMPER
EU_LW_V5	4	13	2015/10/09 10:03:19.000000000	F_EMMPER
EU_LW_V5	5	1	2015/10/09 10:03:19.000000000	F_EMMPER
EU_LW_V5	6	3	2015/10/09 10:03:19.000000000	F_EMMPER
EU_LW_V5	7	14	2015/10/09 10:03:19.000000000	F_EMMPER
EU_LW_V5	8	15	2015/10/09 10:03:19.000000000	F_EMMPER
EU_LW_V5	9	16	2015/10/09 10:03:19.000000000	F_EMMPER
EU_LW_V5	10	17	2015/10/09 10:03:19.000000000	F_EMMPER
EU_LW_V5	40	18	2015/10/09 10:03:19.000000000	F_EMMPER
EU_LW_V5	41	19	2015/10/09 10:03:19.000000000	F_EMMPER
EU_LW_V5	50	20	2015/10/09 10:03:19.000000000	F_EMMPER
AU_LW_V5	E	8	2015/10/09 10:03:19.000000000	TU_ASAMUEL
AU_LW_V5	M	20	2015/10/09 10:03:19.000000000	TU_ASAMUEL
AU_LW_V5	N	9	2015/10/09 10:03:19.000000000	TU_ASAMUEL
AU_LW_V5	C	7	2015/10/09 10:03:19.000000000	TU_ASAMUEL
AU_LW_V5	I	5	2015/10/09 10:03:19.000000000	TU_ASAMUEL
AU_LW_V5	P	6	2015/10/09 10:03:19.000000000	TU_ASAMUEL
AU_LW_V5	U	4	2015/10/09 10:03:19.000000000	TU_ASAMUEL
